Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,full_address,lat,lon,google_maps_link
10001,,8,Cook Place,Taree,2430,Mid-Coast,"8 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Cook+Place,+Taree,+2430,+Australia"
10004,,5,Cook Place,Taree,2430,Mid-Coast,"5 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Cook+Place,+Taree,+2430,+Australia"
10009,,27,Mcblane Street,Weston,2326,Cessnock,"27 Mcblane Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=27+Mcblane+Street,+Weston,+2326,+Australia"
10022,,21,Mitchell Close,Cessnock,2325,Cessnock,"21 Mitchell Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=21+Mitchell+Close,+Cessnock,+2325,+Australia"
10068,,34,Kelso Street,Singleton,2330,Singleton,"34 Kelso Street, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=34+Kelso+Street,+Singleton,+2330,+Australia"
10105,1,21,Heath Avenue,Tuncurry,2428,Mid-Coast,"21 Heath Avenue, Tuncurry, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=21+Heath+Avenue,+Tuncurry,+2428,+Australia"
10126,,11,Coulson Avenue,Cessnock,2325,Cessnock,"11 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=11+Coulson+Avenue,+Cessnock,+2325,+Australia"
10128,,1,Lachlan Avenue,Singleton Heights,2330,Singleton,"1 Lachlan Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Lachlan+Avenue,+Singleton+Heights,+2330,+Australia"
10129,,2,Teece Street,Weston,2326,Cessnock,"2 Teece Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=2+Teece+Street,+Weston,+2326,+Australia"
10136,,3,Bass Close,Singleton Heights,2330,Singleton,"3 Bass Close, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Bass+Close,+Singleton+Heights,+2330,+Australia"
10139,,7,Brown Street,Cessnock,2325,Cessnock,"7 Brown Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=7+Brown+Street,+Cessnock,+2325,+Australia"
10172,,27,Clare Street,Cessnock,2325,Cessnock,"27 Clare Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=27+Clare+Street,+Cessnock,+2325,+Australia"
10182,,3,Wattle Close,Gloucester,2422,Mid-Coast,"3 Wattle Close, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Wattle+Close,+Gloucester,+2422,+Australia"
10184,,40,Stockyard Circuit,Wingham,2429,Mid-Coast,"40 Stockyard Circuit, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=40+Stockyard+Circuit,+Wingham,+2429,+Australia"
10189,,1,Strathmore Place,Taree,2430,Mid-Coast,"1 Strathmore Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Strathmore+Place,+Taree,+2430,+Australia"
10193,,48,Blaxland Avenue,Singleton Heights,2330,Singleton,"48 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=48+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
10197,,11,Frances Street,Gloucester,2422,Mid-Coast,"11 Frances Street, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=11+Frances+Street,+Gloucester,+2422,+Australia"
10212,12,1-11,Heath Avenue,Tuncurry,2428,Mid-Coast,"1-11 Heath Avenue, Tuncurry, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=1-11+Heath+Avenue,+Tuncurry,+2428,+Australia"
