Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,NumberOfBedrooms,Acquisition Date,Disposal Date,Assistance Type,Property Source,Targeted,Target Group,Has Nomination Rights,Nomination Rights -Name,Nomination Rights -ABN,Sublet to Name,Sublet to ABN,Sublet Date,Disability Modifications,Dwelling Type,Class,Condition Surveyed,Met standards,Smoke alarm tested,Smoke alarm tested and in working order,Overdue Reason,Availability Status,FaCS Program,NRAS Funded,MarketRent,Method for determining Market Rent (NRAS),Boarding units or room,Number of Tenancies at full capacity,Number Rooms Untenantable,Program,AssetType,Branch,full_address,lat,lon,google_maps_link
011851,16,49,Stowe Avenue,Campbelltown,2560,Campbelltown (NSW),2,2018-11-01,,Affordable Housing,Fee for Service,No,,No,,,,,,,Unit,Class 1a,,,,,Strata Managed,Tenantable,,No,450.0,Other,,,,FFS Market Program,Fee for service,Operations Sydney,"49 Stowe Avenue, Campbelltown, 2560, Australia",,,"https://www.google.com/maps/search/?api=1&query=49+Stowe+Avenue,+Campbelltown,+2560,+Australia"
011853,3,49,Stowe Avenue,Campbelltown,2560,Campbelltown (NSW),2,2018-11-01,,Affordable Housing,Fee for Service,No,,No,,,,,,,Unit,Class 1a,,,,,Strata Managed,Tenantable,,No,450.0,Other,,,,FFS Market Program,Fee for service,Operations Sydney,"49 Stowe Avenue, Campbelltown, 2560, Australia",,,"https://www.google.com/maps/search/?api=1&query=49+Stowe+Avenue,+Campbelltown,+2560,+Australia"
011862,1,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-09-14,2023-09-14,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
011863,2,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-08-21,2023-08-21,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
011866,3,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-07-04,2023-07-04,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
011867,4,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-07-11,2023-07-11,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
1000,,12,Bolton Street,Bateau Bay,2261,Central Coast (NSW),3,2002-06-21,,Other FaCS,Fee for Service,No,,No,,,,,,,House,Class 1a,,,2023-12-19,2023-12-19,,Tenantable,,No,600.0,Rent & Sales Report,,,,FFS HPAD,Capital-GSH,Operations Central Coast,"12 Bolton Street, Bateau Bay, 2261, Australia",,,"https://www.google.com/maps/search/?api=1&query=12+Bolton+Street,+Bateau+Bay,+2261,+Australia"
10000,,28,O'Toole Street,Weston,2326,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-09-11,2023-09-11,,Tenantable,,No,450.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"28 O'Toole Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=28+O'Toole+Street,+Weston,+2326,+Australia"
10001,,8,Cook Place,Taree,2430,Mid-Coast,4,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,550.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"8 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Cook+Place,+Taree,+2430,+Australia"
10002,,2,Barton Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"2 Barton Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=2+Barton+Street,+Taree,+2430,+Australia"
10003,,32,Barton Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-11,2023-10-11,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"32 Barton Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=32+Barton+Street,+Taree,+2430,+Australia"
10004,,5,Cook Place,Taree,2430,Mid-Coast,4,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,550.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"5 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Cook+Place,+Taree,+2430,+Australia"
10005,,9,Cook Place,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"9 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Cook+Place,+Taree,+2430,+Australia"
