full_address,lat,lon
"49 Stowe Avenue, Campbelltown, 2560, Australia",,
"49 Stowe Avenue, Campbelltown, 2560, Australia",,
"23 Jubilee Street, Dubbo, 2830, Australia",,
"23 Jubilee Street, Dubbo, 2830, Australia",,
"23 Jubilee Street, Dubbo, 2830, Australia",,
"23 Jubilee Street, Dubbo, 2830, Australia",,
"12 Bolton Street, Bateau Bay, 2261, Australia",,
"28 O'Toole Street, Weston, 2326, Australia",,
"8 Cook Place, Taree, 2430, Australia",,
"2 Barton Street, Taree, 2430, Australia",,
"32 Barton Street, Taree, 2430, Australia",,
"5 Cook Place, Taree, 2430, Australia",,
"9 Cook Place, Taree, 2430, Australia",,
"3 Khatabundah Street, Wingham, 2429, Australia",,
"4 Muldoon Street, Taree, 2430, Australia",,
"94 Fourth Street, Weston, 2326, Australia",,
"27 Mcblane Street, Weston, 2326, Australia",,
"14 Coulson Avenue, Cessnock, 2325, Australia",,
"16 Coulson Avenue, Cessnock, 2325, Australia",,
"18 Coulson Avenue, Cessnock, 2325, Australia",,
"2 Casson Avenue, Cessnock, 2325, Australia",,
"27 Common Road, Bendolba, 2420, Australia",,
"30 Coulson Avenue, Cessnock, 2325, Australia",,
"51 Alkira Avenue, Cessnock, 2325, Australia",,
"101 Kelso Street, Singleton, 2330, Australia",,
"8 Teece Street, Weston, 2326, Australia",,
"1 Burns Street, Kurri Kurri, 2327, Australia",,
"23 Nisic Close, Bateau Bay, 2261, Australia",,
"52 Alkira Avenue, Cessnock, 2325, Australia",,
"25 Mitchell Close, Cessnock, 2325, Australia",,
"21 Mitchell Close, Cessnock, 2325, Australia",,
"30 Wakehurst Crescent, Singleton Heights, 2330, Australia",,
"64 Blaxland Avenue, Singleton Heights, 2330, Australia",,
"54 Blaxland Avenue, Singleton Heights, 2330, Australia",,
"30 Warrina Close, Taree, 2430, Australia",,
"3 Maple Close, Gloucester, 2422, Australia",,
"14 Irvine Street, Wingham, 2429, Australia",,
"26 Marjorie Street, Taree, 2430, Australia",,
"30 Marjorie Street, Taree, 2430, Australia",,
"7 Irvine Street, Wingham, 2429, Australia",,
"3 Mawarra Place, Taree, 2430, Australia",,
"38 Alkira Avenue, Cessnock, 2325, Australia",,
"7 Deakin Avenue, Singleton, 2330, Australia",,
"21 Burnett Street, Cessnock, 2325, Australia",,
"9 Latham Avenue, Taree, 2430, Australia",,
"31 Allan Street, Wingham, 2429, Australia",,
"26 Deakin Street, Kurri Kurri, 2327, Australia",,
"50 Cowper Street, Taree, 2430, Australia",,
"20 Rotherham Street, Bateau Bay, 2261, Australia",,
"10 Barton Avenue, Singleton, 2330, Australia",,
"5 Barton Avenue, Singleton, 2330, Australia",,
"52 Cowper Street, Taree, 2430, Australia",,
"23 Sussex Street, Singleton, 2330, Australia",,
"28 Buchan Avenue, Singleton, 2330, Australia",,
"30 Buchan Avenue, Singleton, 2330, Australia",,
"27 Buchan Avenue, Singleton, 2330, Australia",,
"58 Cowper Street, Taree, 2430, Australia",,
"9 Loder Avenue, Singleton, 2330, Australia",,
"41 Mackay Street, Dungog, 2420, Australia",,
"25 Talara Avenue, Bateau Bay, 2261, Australia",,
"47 Mackay Street, Dungog, 2420, Australia",,
"6 Hunter Avenue, Cessnock, 2325, Australia",,
"12 Hunter Avenue, Cessnock, 2325, Australia",,
"14 Bruntnell Street, Taree, 2430, Australia",,
"8 Hunter Avenue, Cessnock, 2325, Australia",,
"46 Mortimer Street, Wingham, 2429, Australia",,
"50 Mortimer Street, Wingham, 2429, Australia",,
"5 Robertson Street, Taree, 2430, Australia",,
"6 Keech Street, Wingham, 2429, Australia",,
"4 Hunter Avenue, Cessnock, 2325, Australia",,
"5 Keech Street, Wingham, 2429, Australia",,
"4 Allan Street, Wingham, 2429, Australia",,
"2 Blaxland Avenue, Singleton Heights, 2330, Australia",,
"9 Saxton Street, Kurri Kurri, 2327, Australia",,
"36 Kanangra Drive, Taree, 2430, Australia",,
"2 Frances Street, Gloucester, 2422, Australia",,
"17 Maclean Street, Cessnock, 2325, Australia",,
"44 Kelso Street, Singleton, 2330, Australia",,
"34 Kelso Street, Singleton, 2330, Australia",,
"11 Pioneer Street, Taree, 2430, Australia",,
"11 Pioneer Street, Taree, 2430, Australia",,
"3-7 Hunter Avenue, Cessnock, 2325, Australia",,
"50 Railway Parade, Kurri Kurri, 2327, Australia",,
"8 Logan Street, Weston, 2326, Australia",,
"51 Stockyard Circuit, Wingham, 2429, Australia",,
"5 Baird Street, Tuncurry, 2428, Australia",,
"12 Macintosh Street, Forster, 2428, Australia",,
"61 Hind Avenue, Forster, 2428, Australia",,
"61 Hind Avenue, Forster, 2428, Australia",,
"2 Logan Street, Weston, 2326, Australia",,
"1 Casson Avenue, Cessnock, 2325, Australia",,
"13 Tahiti Avenue, Forster, 2428, Australia",,
